Region,Year,Month,MonthNum,Date,Metric,Value
East_Siberian,1994,Aug,8,1994-08-01,extent,1161624.863
East_Siberian,1995,Aug,8,1995-08-01,extent,907452.229
East_Siberian,1996,Aug,8,1996-08-01,extent,1222158.122
East_Siberian,1997,Aug,8,1997-08-01,extent,1044411.875
East_Siberian,1998,Aug,8,1998-08-01,extent,1188844.53
East_Siberian,1999,Aug,8,1999-08-01,extent,1064457.526
East_Siberian,2000,Aug,8,2000-08-01,extent,1039254.159
East_Siberian,2001,Aug,8,2001-08-01,extent,1107958.664
East_Siberian,2002,Aug,8,2002-08-01,extent,735557.916
East_Siberian,2003,Aug,8,2003-08-01,extent,704018.915
East_Siberian,2004,Aug,8,2004-08-01,extent,906440.983
East_Siberian,2005,Aug,8,2005-08-01,extent,639618.605
East_Siberian,2006,Aug,8,2006-08-01,extent,838949.719
East_Siberian,2007,Aug,8,2007-08-01,extent,104082.562
East_Siberian,2008,Aug,8,2008-08-01,extent,646836.665
East_Siberian,2009,Aug,8,2009-08-01,extent,667817.346
East_Siberian,2010,Aug,8,2010-08-01,extent,789598.909
East_Siberian,2011,Aug,8,2011-08-01,extent,740429.611
East_Siberian,2012,Aug,8,2012-08-01,extent,366524.851
East_Siberian,2013,Aug,8,2013-08-01,extent,835263.81
East_Siberian,2014,Aug,8,2014-08-01,extent,729038.444
East_Siberian,2015,Aug,8,2015-08-01,extent,538481.622
East_Siberian,2016,Aug,8,2016-08-01,extent,509745.473
East_Siberian,2017,Aug,8,2017-08-01,extent,496704.94
East_Siberian,2018,Aug,8,2018-08-01,extent,819814.805
East_Siberian,2019,Aug,8,2019-08-01,extent,302914.417
East_Siberian,2020,Aug,8,2020-08-01,extent,331399.272
East_Siberian,2021,Aug,8,2021-08-01,extent,539885.777
East_Siberian,2022,Aug,8,2022-08-01,extent,729489.57
East_Siberian,2023,Aug,8,2023-08-01,extent,406747.938
East_Siberian,2024,Aug,8,2024-08-01,extent,655370.09
East_Siberian,1979,Sep,9,1979-09-01,extent,1198049.707
East_Siberian,1980,Sep,9,1980-09-01,extent,1090414.684
East_Siberian,1981,Sep,9,1981-09-01,extent,930389.602
East_Siberian,1982,Sep,9,1982-09-01,extent,1030132.905
East_Siberian,1983,Sep,9,1983-09-01,extent,1077926.761
East_Siberian,1984,Sep,9,1984-09-01,extent,1078289.272
East_Siberian,1985,Sep,9,1985-09-01,extent,1136506.84
East_Siberian,1986,Sep,9,1986-09-01,extent,1140265.588
East_Siberian,1987,Sep,9,1987-09-01,extent,1067918.688
East_Siberian,1988,Sep,9,1988-09-01,extent,1003619.789
East_Siberian,1989,Sep,9,1989-09-01,extent,630223.787
East_Siberian,1990,Sep,9,1990-09-01,extent,444878.031
East_Siberian,1991,Sep,9,1991-09-01,extent,642414.537
East_Siberian,1992,Sep,9,1992-09-01,extent,847736.524
East_Siberian,1993,Sep,9,1993-09-01,extent,566611.049
East_Siberian,1994,Sep,9,1994-09-01,extent,1062017.025
East_Siberian,1995,Sep,9,1995-09-01,extent,711936.236
East_Siberian,1996,Sep,9,1996-09-01,extent,1138747.251
East_Siberian,1997,Sep,9,1997-09-01,extent,983538.992
East_Siberian,1998,Sep,9,1998-09-01,extent,1083834.875
East_Siberian,1999,Sep,9,1999-09-01,extent,891408.449
East_Siberian,2000,Sep,9,2000-09-01,extent,889845.298
East_Siberian,2001,Sep,9,2001-09-01,extent,1028859.477
East_Siberian,2002,Sep,9,2002-09-01,extent,659374.069
